step,epoch,loss,mean_token_accuracy,learning_rate,grad_norm,entropy,num_tokens
29,0.3267605633802817,0.01750955358147621,0.9957264959812164,8.25e-05,0.4039047062397003,0.013577913399785757,74524.0
30,0.3380281690140845,0.023554496467113495,0.9935897439718246,8.1875e-05,0.5307784080505371,0.012275725952349603,77200.0
31,0.3492957746478873,0.005868945270776749,0.9973684251308441,8.125000000000001e-05,0.09800981730222702,0.008139142184518278,79806.0
32,0.36056338028169016,0.011686630547046661,0.9973684251308441,8.062500000000001e-05,0.20730993151664734,0.011168387485668063,82482.0
33,0.37183098591549296,0.002265758579596877,1.0,8e-05,0.05243049934506416,0.0075249349465593696,85088.0
34,0.38309859154929576,0.012321703135967255,0.9973684251308441,7.9375e-05,0.175863578915596,0.008052238204982132,87694.0
35,0.39436619718309857,0.005210404749959707,1.0,7.875e-05,0.16359056532382965,0.014971278375014663,90370.0
36,0.4056338028169014,0.005219494923949242,0.9973684251308441,7.8125e-05,0.3730434477329254,0.008786201244220138,92906.0
37,0.4169014084507042,0.00903354026377201,0.9978632479906082,7.75e-05,0.3313876986503601,0.011155266198329628,95582.0
38,0.428169014084507,0.002721951575949788,1.0,7.687500000000001e-05,0.07385135442018509,0.009208270465023816,98118.0
39,0.4394366197183099,0.012540381401777267,0.9952316731214523,7.625e-05,0.5648723244667053,0.00800721941050142,100724.0
40,0.4507042253521127,0.006085703149437904,0.9952316731214523,7.5625e-05,0.13629834353923798,0.007662854332011193,103330.0
41,0.4619718309859155,0.01272243820130825,0.9957264959812164,7.500000000000001e-05,0.5036896467208862,0.008070675248745829,105936.0
42,0.4732394366197183,0.0050530461594462395,0.9978632479906082,7.4375e-05,0.20712515711784363,0.008834823034703732,108612.0
43,0.48450704225352115,0.00352934910915792,1.0,7.375e-05,0.31860437989234924,0.011598149896599352,111288.0
44,0.49577464788732395,0.0059910728596150875,1.0,7.3125e-05,0.3645066022872925,0.015851244796067476,113894.0
45,0.5070422535211268,0.030308596789836884,0.9909581691026688,7.25e-05,0.911449670791626,0.01006729295477271,116570.0
46,0.5183098591549296,0.0038729035295546055,1.0,7.1875e-05,0.11897813528776169,0.009493958787061274,119176.0
47,0.5295774647887324,0.0036898397374898195,1.0,7.125000000000001e-05,0.13806085288524628,0.009648192673921585,121852.0
48,0.5408450704225352,0.0016871239058673382,1.0,7.062500000000001e-05,0.061153482645750046,0.005724767193896696,124388.0
49,0.5521126760563381,0.04411769658327103,0.994736835360527,7e-05,1.0897914171218872,0.005067074453108944,126924.0
50,0.5633802816901409,0.0009832404321059585,1.0,6.9375e-05,0.03964690491557121,0.004362716979812831,129460.0
51,0.5746478873239437,0.001722528482787311,1.0,6.875e-05,0.053464505821466446,0.005993027123622596,132066.0
52,0.5859154929577465,0.0014829771826043725,1.0,6.8125e-05,0.05483335629105568,0.004944064712617546,134602.0
53,0.5971830985915493,0.007387278601527214,0.9973684251308441,6.750000000000001e-05,0.2263173609972,0.004465734615223482,137138.0
